"loan_id","application_id","loan_status","amount_paid","missed_payments"
763,163,"defaulted",750.00,9
764,164,"defaulted",2200.00,6
765,165,"paid off",19100.00,0
766,166,"current",12800.00,0
767,167,"defaulted",0.00,12
768,168,"defaulted",1900.00,8
769,169,"paid off",24500.00,0
770,170,"current",10500.00,0
771,171,"paid off",15200.00,0
772,172,"current",21500.00,0
773,173,"defaulted",1100.00,9
774,174,"defaulted",0.00,14
775,175,"paid off",8400.00,0
776,176,"defaulted",3600.00,7
777,177,"defaulted",1600.00,8
778,178,"paid off",33000.00,0
779,179,"current",17400.00,0
780,180,"paid off",12600.00,0
781,181,"current",19200.00,2
782,182,"paid off",14800.00,0
783,183,"current",26500.00,0
784,184,"defaulted",0.00,11
785,185,"defaulted",2400.00,6
786,186,"paid off",10200.00,0
787,187,"current",22100.00,0
788,188,"paid off",15600.00,0
789,189,"current",13900.00,0
790,190,"defaulted",1350.00,9
791,191,"defaulted",0.00,12
792,192,"defaulted",1850.00,7
793,193,"paid off",29000.00,0
794,194,"current",11400.00,0
795,195,"paid off",6800.00,0
796,196,"current",18300.00,1
797,197,"paid off",21500.00,0
798,198,"current",15200.00,0
799,199,"defaulted",0.00,10
800,200,"paid off",12900.00,0
801,201,"current",24000.00,0
802,202,"paid off",8300.00,0
803,203,"current",17600.00,0
804,204,"paid off",14200.00,0
805,205,"current",19800.00,0
806,206,"defaulted",3800.00,8
807,207,"paid off",11300.00,0
808,208,"current",16400.00,1
809,209,"paid off",22700.00,0
810,210,"current",13500.00,0
811,211,"defaulted",0.00,12
812,212,"paid off",25000.00,0
813,213,"defaulted",1700.00,9
814,214,"paid off",9200.00,0
815,215,"current",18100.00,0
816,216,"defaulted",2150.00,7
817,217,"paid off",34000.00,0
818,218,"defaulted",0.00,13
819,219,"current",14900.00,0
820,220,"paid off",11600.00,0
821,221,"current",23400.00,2
822,222,"paid off",16200.00,0
823,223,"defaulted",1250.00,8
824,224,"defaulted",600.00,10
825,225,"current",20500.00,0
826,226,"defaulted",0.00,14
827,227,"defaulted",4100.00,6
828,228,"paid off",13800.00,0
829,229,"current",17100.00,0
830,230,"paid off",8900.00,0
831,231,"current",15400.00,1
832,232,"defaulted",1900.00,9
833,233,"defaulted",0.00,11
834,234,"paid off",27000.00,0
835,235,"current",12300.00,0
836,236,"paid off",19500.00,0
837,237,"defaulted",3200.00,7
838,238,"current",24800.00,0
839,239,"paid off",10400.00,0
840,240,"current",16900.00,0
841,241,"defaulted",0.00,10
842,242,"paid off",22000.00,0
843,243,"defaulted",1450.00,8
844,244,"current",15100.00,0
845,245,"paid off",11500.00,0
846,246,"defaulted",2300.00,6
847,247,"current",18700.00,1
848,248,"paid off",14200.00,0
849,249,"defaulted",0.00,12
850,250,"defaulted",850.00,9
851,251,"paid off",26000.00,0
852,252,"current",13400.00,0
853,253,"defaulted",0.00,13
854,254,"paid off",17800.00,0
855,255,"current",21900.00,0
856,256,"paid off",9300.00,0
857,257,"current",16500.00,2
858,258,"paid off",12400.00,0
859,259,"current",14100.00,0
860,260,"paid off",30500.00,0
861,261,"defaulted",1600.00,8
862,262,"defaulted",0.00,11
863,263,"paid off",18500.00,0
864,264,"defaulted",2100.00,7
865,265,"current",23000.00,0
866,266,"paid off",11200.00,0
867,267,"current",15700.00,0
868,268,"paid off",13900.00,0
869,269,"current",19400.00,1
870,270,"defaulted",0.00,10
871,271,"paid off",24000.00,0
872,272,"current",12200.00,0
873,273,"defaulted",1150.00,9
874,274,"defaulted",3400.00,6
875,275,"defaulted",0.00,14
876,276,"paid off",16800.00,0
877,277,"current",20100.00,0
878,278,"paid off",8700.00,0
879,279,"current",14500.00,0
880,280,"paid off",22300.00,0
881,281,"current",17900.00,2
882,282,"defaulted",900.00,8
883,283,"paid off",11400.00,0
884,284,"defaulted",0.00,12
885,285,"current",25500.00,0
886,286,"paid off",13200.00,0
887,287,"current",19100.00,0
888,288,"paid off",10600.00,0
889,289,"current",16400.00,1
890,290,"defaulted",2700.00,7
891,291,"paid off",21000.00,0
892,292,"current",14300.00,0
893,293,"paid off",17800.00,0
894,294,"defaulted",0.00,11
895,295,"current",22900.00,0
896,296,"defaulted",1300.00,9
897,297,"defaulted",4200.00,6
898,298,"defaulted",0.00,13
899,299,"defaulted",850.00,10
900,300,"paid off",15400.00,0
